'Time','Val'
87.2,-7.192893982,
87.3,-7.479049683,
87.4,-7.675788879,
87.5,-7.737106323,
87.6,-7.711555481,
87.7,-7.686004639,
87.8,-7.530151367,
87.9,-7.226104736,
88,-6.980827332,
88.1,-6.827529907,
88.2,-6.715103149,
88.3,-6.635902405,
88.4,-6.572029114,
88.5,-6.510704041,
88.6,-6.459609985,
88.7,-6.533699036,
88.8,-6.75087738,
88.9,-6.988494873,
89,-7.284873962,
89.1,-7.558258057,
89.2,-7.698783875,
89.3,-7.726882935,
89.4,-7.708999634,
89.5,-7.688560486,
89.6,-7.52759552,
89.7,-7.223548889,
89.8,-6.980827332,
89.9,-6.82497406,
90,-6.709999084,30.44655037
