rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
3.0,946688008807344,-0.0625,946688008807344,2.073942025221387,65535,1,nan,44,1,-0.020712510356255178,2017-07-03 08:12:58,e2801160600002073a4962c7,1,-56578125.0,0.875,1,1352,nan,6,980710,-67,0
0.0,946688008817049,0.0,946688008817049,4.601942363656923,0,1,nan,45,1,0.0,2017-07-03 08:12:58,00e200600322f148a4000000,1,0.0,-0.70000000000000284,1,3000,nan,6,990415,-48,0
3.0,946688008829063,-0.25,946688008829063,6.17273869045182,65532,1,nan,46,1,-0.08285004142502071,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-226312500.0,0.81481481481481666,1,4024,nan,6,1002429,-56,0
0.0,946688008880357,0.0,946688008880357,4.516039439535327,0,1,nan,47,1,0.0,2017-07-03 08:12:58,00e200600322f148a4000000,1,0.0,-0.70000000000000284,1,2944,nan,6,1053723,-48,0
2.0,946688008895977,1.25,946688008895977,0.4049709280018093,20,1,nan,48,1,0.4142502071251036,2017-07-03 08:12:58,e2801160600002073a496cb7,1,1131562500.0,0.5238095238095184,1,264,nan,6,1069343,-67,0
3.0,946688008913146,-1.25,946688008913146,0.8528933180644165,65516,1,nan,49,1,-0.41402152911951423,2017-07-03 08:12:58,e2801160600002073a494047,1,-1132187500.0,1.3703703703703667,1,556,nan,7,1086512,-67,0
4.0,946688008923084,0.0,946688008923084,1.9880391010997909,0,1,nan,50,1,0.0,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,0.0,1.6666666666666643,1,1296,nan,7,1096450,-56,0
1.0,946688009228812,0.1875,946688009228812,0.4970097752749477,3,1,nan,51,1,0.06206896551724138,2017-07-03 08:12:58,00e200600322f148a4000000,1,169921875.0,-0.090909090909093493,1,324,nan,8,1402178,-47,0
3.0,946688009238802,0.0,946688009238802,5.141903600992669,0,1,nan,52,1,0.0,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,0.0,0.51351351351351582,1,3352,nan,8,1412168,-57,0
1.0,946688009260407,0.375,946688009260407,0.4663301595172349,6,1,nan,53,1,0.12413793103448276,2017-07-03 08:12:58,00e200600322f148a4000000,1,339843750.0,-0.090909090909093493,1,304,nan,8,1433773,-47,0
3.0,946688009272133,-0.625,946688009272133,5.123495831538041,65526,1,nan,54,1,-0.20689655172413793,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-566406250.0,0.51351351351351582,1,3340,nan,8,1445499,-57,0
1.0,946688009325260,0.1875,946688009325260,0.4724660826687775,3,1,nan,55,1,0.06206896551724138,2017-07-03 08:12:58,00e200600322f148a4000000,1,169921875.0,-0.090909090909093493,1,308,nan,8,1498626,-47,0
3.0,946688009335283,-0.125,946688009335283,4.890330751779424,65534,1,nan,56,1,-0.041379310344827586,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-113281250.0,0.51351351351351582,1,3188,nan,8,1508649,-57,0
3.0,946688009354334,-0.25,946688009354334,4.816699673960914,65532,1,-0.3075625951393618,57,1,-0.08275862068965517,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-226562500.0,0.51351351351351582,1,3140,-0.10181382459785769,8,1527700,-57,0
1.0,946688009367943,0.4375,946688009367943,0.4540583132141498,7,1,nan,58,1,0.14482758620689656,2017-07-03 08:12:58,00e200600322f148a4000000,1,396484375.0,-0.090909090909093493,1,296,nan,8,1541309,-47,0
0.0,946688009430177,0.0,946688009430177,5.620505606812989,0,1,nan,59,1,0.0,2017-07-03 08:12:58,00e200600322f148a4000000,1,0.0,-0.79310344827586476,1,3664,nan,9,1603543,-48,0
1.0,946688009439946,0.0,946688009439946,6.013204688511713,0,1,nan,60,1,0.0,2017-07-03 08:12:58,e2801160600002073a496cb7,1,0.0,0.29411764705882604,1,3920,nan,9,1613312,-67,0
7.0,946688009451798,0.375,946688009451798,0.9142525495798421,6,1,nan,61,1,0.12406947890818859,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,340031250.0,1.2068965517241352,1,596,nan,9,1625164,-57,0
1.0,946688009461881,-0.625,946688009461881,0.7792622402459057,65526,1,nan,62,1,-0.20678246484698098,2017-07-03 08:12:58,e2801160600002073a494047,1,-566718750.0,-0.94444444444444287,1,508,nan,9,1635247,-70,0
7.0,946688009481068,0.5625,946688009481068,0.9510680884890975,9,1,nan,63,1,0.18610421836228289,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,510046875.0,1.2068965517241352,1,620,nan,9,1654434,-57,0
1.0,946688009491416,0.4375,946688009491416,5.675728915176872,7,1,nan,64,1,0.1447477253928867,2017-07-03 08:12:58,00e200600322f148a4000000,1,396703125.0,0.20689655172413524,1,3700,nan,9,1664782,-47,0
0.0,946688009501168,-0.5625,946688009501168,6.007068765360171,65527,1,nan,65,1,-0.18610421836228289,2017-07-03 08:12:58,e2801160600002073a496cb7,1,-510046875.0,-0.70588235294117396,1,3916,nan,9,1674534,-68,0
1.0,946688009513072,-0.9375,946688009513072,3.9515345095934116,65521,1,nan,66,1,-0.31017369727047145,2017-07-03 08:12:58,e2801160600002073a494047,1,-850078125.0,-0.94444444444444287,1,2576,nan,9,1686438,-70,0
1.0,946688009556606,0.125,946688009556606,5.810719224510809,2,1,nan,67,1,0.0413564929693962,2017-07-03 08:12:58,00e200600322f148a4000000,1,113343750.0,0.20689655172413524,1,3788,nan,9,1729972,-47,0
1.0,946688009566480,-2.3125,946688009566480,6.092971689481767,65499,1,nan,68,1,-0.7650951199338296,2017-07-03 08:12:58,e2801160600002073a496cb7,1,-2096859375.0,0.29411764705882604,1,3972,nan,9,1739846,-67,0
0.0,946688009576380,-0.5,946688009576380,0.7669903939428205,65528,1,nan,69,1,-0.1654259718775848,2017-07-03 08:12:58,e2801160600002073a494047,1,-453375000.0,-1.9444444444444429,1,500,nan,9,1749746,-71,0
7.0,946688009588377,0.25,946688009588377,1.41126232485479,4,1,nan,70,1,0.0827129859387924,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,226687500.0,1.2068965517241352,1,920,nan,9,1761743,-57,0
1.0,946688009605850,0.25,946688009605850,5.890486225480862,4,1,nan,71,1,0.0827129859387924,2017-07-03 08:12:58,00e200600322f148a4000000,1,226687500.0,0.20689655172413524,1,3840,nan,9,1779216,-47,0
